lsl_timestamp,code,is_target,char_idx,rep
86302.902299166,8,0,0,1
86303.082625416,12,0,0,1
86303.263278166,1,0,0,1
86303.443754458,9,0,0,1
86303.624015708,6,0,0,1
86303.803847208,7,0,0,1
86303.983555416,4,1,0,1
86304.16435025,11,0,0,1
86304.343718,5,0,0,1
86304.524289583,2,0,0,1
86304.703967208,10,1,0,1
86304.884397166,3,0,0,1
86305.064679416,9,0,0,2
86305.244238375,12,0,0,2
86305.424525875,5,0,0,2
86305.60516075,2,0,0,2
86305.785109333,3,0,0,2
86305.965083875,4,1,0,2
86306.145537291,6,0,0,2
86306.331120083,11,0,0,2
86306.510906958,10,1,0,2
86306.69073275,7,0,0,2
86306.871157958,1,0,0,2
86307.051618166,8,0,0,2
86307.230964083,5,0,0,3
86307.410606291,8,0,0,3
86307.59142025,3,0,0,3
86307.770770583,7,0,0,3
86307.951127583,2,0,0,3
86308.131101458,12,0,0,3
86308.310711166,4,1,0,3
86308.490857083,9,0,0,3
86308.670697791,10,1,0,3
86308.851347916,11,0,0,3
86309.029668208,1,0,0,3
86309.209887125,6,0,0,3
86309.390517125,7,0,0,4
86309.571574458,1,0,0,4
86309.751529375,5,0,0,4
86309.931303666,12,0,0,4
86310.110727458,6,0,0,4
86310.291465916,2,0,0,4
86310.470975416,3,0,0,4
86310.650554333,11,0,0,4
86310.831163375,10,1,0,4
86311.011681458,8,0,0,4
86311.189981166,4,1,0,4
86311.370809416,9,0,0,4
86311.55127325,10,1,0,5
86311.730645916,12,0,0,5
86311.910778791,8,0,0,5
86312.090532541,4,1,0,5
86312.270705583,11,0,0,5
86312.4514255,6,0,0,5
86312.631078041,1,0,0,5
86312.809978416,5,0,0,5
86312.989868,3,0,0,5
86313.169462625,2,0,0,5
86313.349801083,9,0,0,5
86313.529420458,7,0,0,5
86313.710056416,6,0,0,6
86313.890574625,9,0,0,6
86314.071313791,3,0,0,6
86314.25195225,2,0,0,6
86314.431980708,4,1,0,6
86314.612786708,1,0,0,6
86314.792634583,11,0,0,6
86314.975647916,7,0,0,6
86315.154842208,8,0,0,6
86315.332617166,10,1,0,6
86315.512431666,12,0,0,6
86315.692794666,5,0,0,6
86315.872431375,10,1,0,7
86316.052453041,2,0,0,7
86316.232818583,8,0,0,7
86316.413091416,12,0,0,7
86316.5929995,5,0,0,7
86316.772898625,4,1,0,7
86316.95207875,1,0,0,7
86317.130468958,9,0,0,7
86317.310391916,6,0,0,7
86317.490757333,3,0,0,7
86317.670290916,11,0,0,7
86317.850218166,7,0,0,7
86318.030789791,2,0,0,8
86318.210767083,9,0,0,8
86318.391313916,7,0,0,8
86318.571540708,4,1,0,8
86318.751236083,5,0,0,8
86318.931364208,12,0,0,8
86319.11208275,3,0,0,8
86319.292826291,10,1,0,8
86319.472578666,11,0,0,8
86319.652321166,1,0,0,8
86319.832647291,8,0,0,8
86320.013211208,6,0,0,8
86320.192071083,11,0,0,9
86320.3717035,6,0,0,9
86320.552200125,12,0,0,9
86320.73062525,8,0,0,9
86320.90827,2,0,0,9
86321.088702541,7,0,0,9
86321.26911575,5,0,0,9
86321.449658583,10,1,0,9
86321.629423333,1,0,0,9
86321.808227541,4,1,0,9
86321.987168583,9,0,0,9
86322.167738583,3,0,0,9
86322.348627708,7,0,0,10
86322.528930083,12,0,0,10
86322.709446625,3,0,0,10
86322.889875916,2,0,0,10
86323.070494666,9,0,0,10
86323.250175583,11,0,0,10
86323.430404291,4,1,0,10
86323.610386166,1,0,0,10
86323.790532625,5,0,0,10
86323.9696365,8,0,0,10
86324.14795225,6,0,0,10
86324.327282,10,1,0,10
86324.507849666,11,0,0,11
86324.688509041,12,0,0,11
86324.869087083,2,0,0,11
86325.049046541,3,0,0,11
86325.22769275,9,0,0,11
86325.407151291,10,1,0,11
86325.587500583,5,0,0,11
86325.768088833,4,1,0,11
86325.947661875,6,0,0,11
86326.127116333,8,0,0,11
86326.306625708,1,0,0,11
86326.485911833,7,0,0,11
86326.664802208,4,1,0,12
86326.844413333,10,1,0,12
86327.023869041,3,0,0,12
86327.202391583,7,0,0,12
86327.38252575,2,0,0,12
86327.562524333,12,0,0,12
86327.7424825,5,0,0,12
86327.921436041,8,0,0,12
86328.101913958,6,0,0,12
86328.281517291,11,0,0,12
86328.4606245,9,0,0,12
86328.63980575,1,0,0,12
86328.820401875,3,0,0,13
86329.000263791,10,1,0,13
86329.180678125,8,0,0,13
86329.360673041,6,0,0,13
86329.541153416,4,1,0,13
86329.721761458,7,0,0,13
86329.900643958,11,0,0,13
86330.080276666,12,0,0,13
86330.260212875,1,0,0,13
86330.440082458,5,0,0,13
86330.620417958,9,0,0,13
86330.799970125,2,0,0,13
86330.980064458,7,0,0,14
86331.160048,8,0,0,14
86331.340465458,4,1,0,14
86331.521048833,12,0,0,14
86331.701117208,11,0,0,14
