lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX
86301.104154,-4.8828125,-74.70703125,6.8359375,35.15625,0.0
86301.10806025,32.2265625,-76.171875,0.0,33.203125,0.0
86301.1119665,62.98828125,-77.1484375,-5.859375,44.43359375,0.0
86301.11587275,61.5234375,-68.84765625,0.48828125,41.9921875,0.0
86301.119779,48.828125,-67.87109375,3.41796875,15.13671875,0.0
86301.12368525,59.5703125,-74.21875,-0.9765625,5.37109375,0.0
86301.1275915,60.05859375,-70.3125,-6.8359375,22.94921875,0.0
86301.13149775,45.8984375,-58.10546875,-11.23046875,35.15625,0.0
86301.135404,67.3828125,-48.33984375,-13.671875,22.4609375,0.0
86301.13931025,111.328125,-48.33984375,-13.671875,0.0,0.0
86301.1432165,122.0703125,-52.734375,-16.11328125,10.25390625,0.0
86301.14712275,116.2109375,-54.6875,-10.25390625,9.27734375,0.0
86301.150776458,128.90625,-51.26953125,-11.23046875,-31.25,0.0
86301.154682708,158.69140625,-45.8984375,-21.97265625,-50.29296875,0.0
86301.158588958,167.48046875,-41.9921875,-25.390625,-31.25,0.0
86301.162495208,132.8125,-48.33984375,-25.87890625,-6.8359375,0.0
86301.166401458,114.2578125,-53.22265625,-21.97265625,-13.18359375,0.0
86301.170307708,122.55859375,-51.7578125,-20.99609375,-36.62109375,0.0
86301.174213958,109.375,-46.875,-27.34375,-27.34375,0.0
86301.178120208,91.30859375,-36.62109375,-23.4375,3.90625,0.0
86301.182026458,52.24609375,-41.9921875,-15.625,13.671875,0.0
86301.185932708,43.9453125,-48.33984375,-22.94921875,-4.39453125,0.0
86301.189838958,69.3359375,-41.9921875,-25.390625,-6.34765625,0.0
86301.193745208,92.7734375,-37.59765625,-17.578125,11.71875,0.0
86301.1976885,92.28515625,-39.0625,-15.13671875,20.5078125,0.0
86301.20159475,79.58984375,-39.0625,-13.18359375,12.6953125,0.0
86301.205501,93.75,-39.0625,-15.13671875,2.44140625,0.0
86301.20940725,114.74609375,-35.64453125,-18.06640625,13.671875,0.0
86301.2133135,103.515625,-33.203125,-16.6015625,21.484375,0.0
86301.21721975,80.078125,-38.0859375,-27.34375,-0.48828125,0.0
86301.221126,83.49609375,-35.64453125,-32.71484375,-25.390625,0.0
86301.22503225,89.35546875,-35.64453125,-22.4609375,-21.97265625,0.0
86301.2289385,85.44921875,-37.109375,-15.13671875,-1.46484375,0.0
86301.23284475,71.77734375,-33.69140625,-16.11328125,3.90625,0.0
86301.236751,97.16796875,-25.87890625,-12.6953125,-12.6953125,0.0
86301.24065725,119.140625,-22.94921875,-15.13671875,-21.484375,0.0
86301.244777,105.46875,-34.66796875,-22.94921875,-3.90625,0.0
86301.24868325,83.984375,-40.52734375,-29.78515625,1.953125,0.0
86301.2525895,86.9140625,-38.57421875,-31.25,-19.53125,0.0
86301.25649575,68.359375,-35.15625,-20.5078125,-26.3671875,0.0
