lsl_timestamp,code,is_target,char_idx,rep
104619.916539708,8,0,0,1
104620.096908041,12,0,0,1
104620.277711333,1,0,0,1
104620.458957625,9,0,0,1
104620.639156833,6,0,0,1
104620.819582083,7,1,0,1
104621.000161833,4,0,0,1
104621.180550125,11,0,0,1
104621.359652041,5,0,0,1
104621.540802416,2,1,0,1
104621.720925375,10,0,0,1
104621.901673916,3,0,0,1
104622.081853833,9,0,0,2
104622.261571416,12,0,0,2
104622.440722083,5,0,0,2
104622.621215041,2,1,0,2
104622.800795708,3,0,0,2
104622.979715916,4,0,0,2
104623.160593375,6,0,0,2
104623.340228375,11,0,0,2
104623.519804541,10,0,0,2
104623.699367375,7,1,0,2
104623.880004458,1,0,0,2
104624.0602405,8,0,0,2
104624.240754,5,0,0,3
104624.421164208,8,0,0,3
104624.600889666,3,0,0,3
104624.781291541,7,1,0,3
104624.961155083,2,1,0,3
104625.141009666,12,0,0,3
104625.32190225,4,0,0,3
104625.502407166,9,0,0,3
104625.682226083,10,0,0,3
104625.86279425,11,0,0,3
104626.04333925,1,0,0,3
104626.223920916,6,0,0,3
104626.402930916,7,1,0,4
104626.582321166,1,0,0,4
104626.763152,5,0,0,4
104626.943651958,12,0,0,4
104627.1240955,6,0,0,4
104627.303254583,2,1,0,4
104627.483813333,3,0,0,4
104627.664266458,11,0,0,4
104627.844441208,10,0,0,4
104628.024233041,8,0,0,4
104628.204813875,4,0,0,4
104628.384257791,9,0,0,4
104628.56481725,10,0,0,5
104628.744543458,12,0,0,5
104628.924297166,8,0,0,5
104629.103572333,4,0,0,5
104629.284199291,11,0,0,5
104629.465023333,6,0,0,5
104629.644492375,1,0,0,5
104629.825160875,5,0,0,5
104630.004873791,3,0,0,5
104630.184485791,2,1,0,5
104630.364944125,9,0,0,5
104630.545434041,7,1,0,5
104630.724379666,6,0,0,6
104630.905296291,9,0,0,6
104631.084368666,3,0,0,6
104631.263893291,2,1,0,6
104631.445216208,4,0,0,6
104631.625668666,1,0,0,6
104631.806685458,11,0,0,6
104631.986592375,7,1,0,6
104632.166130208,8,0,0,6
104632.344443666,10,0,0,6
104632.523817458,12,0,0,6
104632.704014541,5,0,0,6
104632.884444,10,0,0,7
104633.064130083,2,1,0,7
104633.244672791,8,0,0,7
104633.425293375,12,0,0,7
104633.605144416,5,0,0,7
104633.785637583,4,0,0,7
104633.965164208,1,0,0,7
104634.145716625,9,0,0,7
104634.325206458,6,0,0,7
