lsl_timestamp,code,is_target,char_idx,rep
7353.7771426,8,0,0,1
7353.953982,12,0,0,1
7354.1307095,1,0,0,1
7354.3079329,9,0,0,1
7354.4844875,6,0,0,1
7354.6627584,7,1,0,1
7354.8397367,4,0,0,1
7355.0166633,11,0,0,1
7355.1947602,5,0,0,1
7355.3714378,2,0,0,1
7355.5487311,10,0,0,1
7355.7257765,3,1,0,1
7355.9023782,9,0,0,2
7356.078944,12,0,0,2
7356.2567437,5,0,0,2
7356.4333118,2,0,0,2
7356.6100308,3,1,0,2
7356.7870731,4,0,0,2
7356.9637343,6,0,0,2
7357.1404195,11,0,0,2
7357.3187193,10,0,0,2
7357.4959014,7,1,0,2
7357.6737153,1,0,0,2
7357.8510065,8,0,0,2
7358.0276718,5,0,0,3
7358.2047144,8,0,0,3
7358.3817451,3,1,0,3
7358.5590364,7,1,0,3
7358.7356912,2,0,0,3
7358.9128882,12,0,0,3
7359.0894546,4,0,0,3
7359.266746,9,0,0,3
7359.4446449,10,0,0,3
7359.6227264,11,0,0,3
7359.7996907,1,0,0,3
7359.9766628,6,0,0,3
7360.1543408,7,1,0,4
7360.3316799,1,0,0,4
7360.5082174,5,0,0,4
7360.6856609,12,0,0,4
7360.8629203,6,0,0,4
7361.0399554,2,0,0,4
7361.2166526,3,1,0,4
7361.3947235,11,0,0,4
7361.5727073,10,0,0,4
7361.7496745,8,0,0,4
7361.9266948,4,0,0,4
7362.104243,9,0,0,4
7362.2809087,10,0,0,5
7362.4573969,12,0,0,5
7362.6349503,8,0,0,5
7362.8115036,4,0,0,5
7362.988675,11,0,0,5
7363.1652439,6,0,0,5
7363.3419373,1,0,0,5
7363.518544,5,0,0,5
7363.6951171,3,1,0,5
7363.8716812,2,0,0,5
7364.0486764,9,0,0,5
7364.2251616,7,1,0,5
7364.4017423,6,0,0,6
7364.5783037,9,0,0,6
7364.7549251,3,1,0,6
7364.9314635,2,0,0,6
7365.1087086,4,0,0,6
7365.285694,1,0,0,6
7365.4636704,11,0,0,6
7365.6402851,7,1,0,6
7365.8168504,8,0,0,6
7365.9933399,10,0,0,6
7366.1706611,12,0,0,6
7366.3478771,5,0,0,6
7366.5247031,10,0,0,7
7366.7019144,2,0,0,7
7366.8788544,8,0,0,7
7367.0558348,12,0,0,7
7367.2328376,5,0,0,7
7367.4094125,4,0,0,7
7367.5866687,1,0,0,7
7367.7636588,9,0,0,7
7367.940188,6,0,0,7
7368.1167265,3,1,0,7
7368.2937286,11,0,0,7
7368.4717225,7,1,0,7
7368.648284,2,0,0,8
7368.8256585,9,0,0,8
7369.0037023,7,1,0,8
7369.1807007,4,0,0,8
7369.3578052,5,0,0,8
7369.534356,12,0,0,8
7369.710932,3,1,0,8
7369.8876874,10,0,0,8
7370.0649502,11,0,0,8
7370.2415306,1,0,0,8
7370.4196961,8,0,0,8
7370.5969282,6,0,0,8
7370.7735229,11,0,0,9
7370.9508725,6,0,0,9
7371.1279531,12,0,0,9
7371.3047333,8,0,0,9
7371.4826863,2,0,0,9
7371.6606638,7,1,0,9
7371.8379059,5,0,0,9
7372.0156862,10,0,0,9
7372.1926706,1,0,0,9
7372.3707131,4,0,0,9
7372.5479337,9,0,0,9
7372.7247123,3,1,0,9
7372.9016982,7,1,0,10
7373.0787739,12,0,0,10
7373.2557351,3,1,0,10
7373.4327018,2,0,0,10
7373.609667,9,0,0,10
7373.7869589,11,0,0,10
7373.9636602,4,0,0,10
7374.1409077,1,0,0,10
7374.3177124,5,0,0,10
7374.494285,8,0,0,10
7374.6707742,6,0,0,10
7374.8477168,10,0,0,10
7375.02471,11,0,0,11
7375.2026962,12,0,0,11
7375.3794063,2,0,0,11
7375.5560085,3,1,0,11
7375.7337284,9,0,0,11
7375.9103916,10,0,0,11
7376.0871536,5,0,0,11
7376.2642082,4,0,0,11
7376.440918,6,0,0,11
7376.6177714,8,0,0,11
7376.79509,1,0,0,11
7376.9716974,7,1,0,11
7377.1486923,4,0,0,12
7377.3253027,10,0,0,12
7377.5027626,3,1,0,12
7377.6794124,7,1,0,12
7377.8567025,2,0,0,12
7378.0338522,12,0,0,12
7378.211657,5,0,0,12
7378.3889468,8,0,0,12
7378.5658642,6,0,0,12
7378.7427237,11,0,0,12
7378.9197064,9,0,0,12
7379.0968752,1,0,0,12
7379.2737061,3,1,0,13
7379.450917,10,0,0,13
7379.6280612,8,0,0,13
7379.8047019,6,0,0,13
7379.981687,4,0,0,13
7380.1588368,7,1,0,13
7380.3358459,11,0,0,13
7380.5124584,12,0,0,13
7380.6906979,1,0,0,13
7380.8679354,5,0,0,13
7381.0446647,9,0,0,13
7381.2218307,2,0,0,13
7381.3983973,7,1,0,14
7381.5767211,8,0,0,14
7381.7538192,4,0,0,14
7381.9307029,12,0,0,14
7382.1079093,11,0,0,14
7382.285651,1,0,0,14
7382.4622428,9,0,0,14
7382.6389059,6,0,0,14
7382.8154261,3,1,0,14
7382.9918986,10,0,0,14
7383.1684519,2,0,0,14
7383.3458241,5,0,0,14
7383.5227534,9,0,0,15
7383.700735,3,1,0,15
7383.8779379,2,0,0,15
7384.0543999,10,0,0,15
7384.2308247,1,0,0,15
7384.4087418,7,1,0,15
7384.5852103,4,0,0,15
7384.762647,6,0,0,15
7384.9398598,8,0,0,15
7385.1163049,12,0,0,15
7385.2927661,5,0,0,15
7385.469195,11,0,0,15
7388.1507735,1,1,1,1
7388.3278864,10,1,1,1
7388.5048022,11,0,1,1
7388.6819106,8,0,1,1
7388.8586573,9,0,1,1
7389.0356392,12,0,1,1
7389.2121142,3,0,1,1
7389.3896782,2,0,1,1
7389.5668321,5,0,1,1
7389.7436532,4,0,1,1
7389.9208089,7,0,1,1
7390.0978341,6,0,1,1
7390.2747868,9,0,1,2
7390.4516797,5,0,1,2
7390.6288805,8,0,1,2
7390.8057792,11,0,1,2
7390.9821868,2,0,1,2
7391.1586521,6,0,1,2
7391.3350514,10,1,1,2
7391.5118611,3,0,1,2
7391.6896516,7,0,1,2
7391.8661049,12,0,1,2
7392.0425519,4,0,1,2
7392.2206544,1,1,1,2
7392.397795,7,0,1,3
7392.5747852,2,0,1,3
7392.7526505,3,0,1,3
7392.9296507,10,1,1,3
7393.1067184,1,1,1,3
7393.2831517,6,0,1,3
7393.4596612,5,0,1,3
7393.6366776,11,0,1,3
7393.8136491,8,0,1,3
7393.9907893,12,0,1,3
7394.1672352,4,0,1,3
7394.3446375,9,0,1,3
7394.5226657,6,0,1,4
7394.6991063,4,0,1,4
7394.8757675,8,0,1,4
7395.0528066,3,0,1,4
7395.2296525,9,0,1,4
7395.4066793,10,1,1,4
7395.5831419,2,0,1,4
7395.7597806,5,0,1,4
7395.9367914,1,1,1,4
7396.1138216,7,0,1,4
7396.2906531,12,0,1,4
7396.4686639,11,0,1,4
7396.6451252,9,0,1,5
7396.8216474,4,0,1,5
7396.9980778,10,1,1,5
7397.1746554,6,0,1,5
7397.3510654,8,0,1,5
7397.5288031,1,1,1,5
7397.7066449,2,0,1,5
7397.8837907,11,0,1,5
7398.0616671,7,0,1,5
7398.238076,3,0,1,5
7398.4148635,12,0,1,5
7398.5918668,5,0,1,5
7398.7686618,6,0,1,6
7398.945754,5,0,1,6
7399.1228222,7,0,1,6
7399.2992247,11,0,1,6
7399.4758558,12,0,1,6
7399.6529748,2,0,1,6
7399.830643,4,0,1,6
7400.0071153,1,1,1,6
7400.1838246,9,0,1,6
7400.3602624,3,0,1,6
7400.5368862,8,0,1,6
7400.7138181,10,1,1,6
7400.8902412,6,0,1,7
7401.0668351,12,0,1,7
7401.2436651,9,0,1,7
7401.4201308,1,1,1,7
7401.5966308,11,0,1,7
7401.7736692,5,0,1,7
7401.9501061,3,0,1,7
7402.1268259,7,0,1,7
7402.3038216,2,0,1,7
7402.4802853,8,0,1,7
7402.6567738,4,0,1,7
7402.8336611,10,1,1,7
7403.0106561,9,0,1,8
7403.1886796,11,0,1,8
7403.365863,8,0,1,8
7403.5426808,10,1,1,8
7403.7198222,2,0,1,8
7403.8968275,12,0,1,8
7404.0738081,7,0,1,8
7404.2506697,6,0,1,8
7404.4271153,4,0,1,8
7404.6038419,3,0,1,8
7404.780517,1,1,1,8
7404.9569773,5,0,1,8
7405.1334195,10,1,1,9
7405.3106797,1,1,1,9
7405.4871681,3,0,1,9
7405.6638716,4,0,1,9
7405.8402899,12,0,1,9
7406.0176546,8,0,1,9
7406.1946727,9,0,1,9
7406.3711536,6,0,1,9
7406.5476906,7,0,1,9
7406.724828,2,0,1,9
7406.9017995,11,0,1,9
7407.0783767,5,0,1,9
7407.2554017,11,0,1,10
7407.432863,4,0,1,10
7407.6096593,6,0,1,10
7407.7866595,8,0,1,10
7407.9630636,7,0,1,10
7408.1398032,5,0,1,10
7408.316297,10,1,1,10
7408.49278,9,0,1,10
7408.6698308,3,0,1,10
7408.8468058,12,0,1,10
7409.0237872,1,1,1,10
7409.2016946,2,0,1,10
7409.3792751,10,1,1,11
7409.5562884,1,1,1,11
7409.7328307,3,0,1,11
7409.9106687,7,0,1,11
7410.0871447,4,0,1,11
7410.2636254,8,0,1,11
7410.4408285,9,0,1,11
7410.6178598,5,0,1,11
7410.7956565,2,0,1,11
7410.9728421,11,0,1,11
7411.1497713,12,0,1,11
7411.3276827,6,0,1,11
7411.5046891,4,0,1,12
7411.681164,5,0,1,12
7411.8576539,11,0,1,12
7412.034708,3,0,1,12
7412.2118791,12,0,1,12
7412.3886916,9,0,1,12
7412.5658292,8,0,1,12
7412.7428342,10,1,1,12
7412.9197943,2,0,1,12
7413.0968451,7,0,1,12
7413.2746559,1,1,1,12
7413.4519918,6,0,1,12
7413.6296578,11,0,1,13
7413.8061054,5,0,1,13
7413.9828793,8,0,1,13
7414.1593236,1,1,1,13
7414.335853,6,0,1,13
7414.5136792,7,0,1,13
7414.6908746,3,0,1,13
7414.8677172,12,0,1,13
7415.0446708,4,0,1,13
7415.2218236,9,0,1,13
7415.3982809,10,1,1,13
7415.574753,2,0,1,13
7415.7512068,12,0,1,14
7415.927918,3,0,1,14
7416.1056452,6,0,1,14
7416.282674,10,1,1,14
7416.4591549,7,0,1,14
