lsl_timestamp,TP9,AF7,AF8,TP10
440696.73801525,-10.25390625,5.37109375,-659.66796875,-2.44140625
440696.7419215,22.4609375,3.90625,-82.03125,4.39453125
440696.74582775,55.17578125,-5.859375,499.51171875,-4.39453125
440696.749734,25.87890625,-7.8125,319.82421875,1.953125
440696.75364025,-3.90625,-10.25390625,-259.27734375,4.39453125
440696.7575465,11.71875,-14.6484375,-447.75390625,-26.3671875
440696.76145275,49.31640625,-8.7890625,96.6796875,-12.20703125
440696.765359,41.50390625,-16.6015625,-193.359375,-3.90625
440696.76926525,-7.8125,-22.94921875,-967.28515625,9.27734375
440696.7731715,-20.01953125,-13.671875,-416.015625,-3.90625
440696.77707775,26.3671875,-13.18359375,363.76953125,-13.671875
440696.780984,46.875,-14.6484375,567.87109375,2.44140625
440696.78853125,5.37109375,-19.04296875,145.01953125,14.16015625
440696.7924375,-20.99609375,-17.08984375,-165.52734375,6.34765625
440696.79634375,20.01953125,-11.23046875,154.296875,-7.32421875
440696.80025,47.8515625,-13.18359375,372.55859375,5.37109375
440696.80415625,18.06640625,-13.18359375,144.04296875,9.27734375
440696.8080625,-15.13671875,-16.6015625,-462.890625,2.44140625
440696.81196875,1.953125,-17.08984375,-282.71484375,2.9296875
440696.815875,39.0625,-16.11328125,476.07421875,-4.8828125
440696.81978125,30.76171875,-24.4140625,193.84765625,-6.34765625
440696.8236875,-3.41796875,-24.4140625,-375.0,10.25390625
440696.82759375,7.8125,-27.83203125,-338.37890625,8.30078125
440696.8315,44.43359375,-31.73828125,-417.96875,-0.9765625
440696.837945541,46.875,-16.11328125,-46.875,11.71875
440696.841851791,8.7890625,-8.30078125,5.37109375,5.37109375
440696.845758041,-2.44140625,-6.8359375,-208.49609375,-13.18359375
440696.849664291,39.0625,-6.34765625,367.67578125,6.34765625
440696.853570541,54.6875,-13.18359375,629.39453125,29.78515625
440696.857476791,23.92578125,-23.92578125,-31.25,10.25390625
440696.861383041,13.671875,-36.1328125,-933.59375,1.953125
440696.865289291,47.8515625,-33.203125,-566.40625,20.01953125
440696.869195541,62.01171875,-24.4140625,501.46484375,20.5078125
440696.873101791,18.5546875,-24.90234375,347.16796875,20.5078125
440696.877008041,-14.16015625,-25.390625,-170.8984375,11.71875
440696.880914291,10.7421875,-26.3671875,-175.29296875,-7.8125
440696.888277583,50.29296875,-22.4609375,342.7734375,2.44140625
440696.892183833,44.43359375,-28.80859375,441.89453125,13.671875
440696.896090083,7.8125,-32.2265625,-458.49609375,14.6484375
440696.899996333,21.97265625,-24.90234375,-439.94140625,8.30078125
440696.903902583,75.1953125,-22.4609375,405.2734375,5.859375
440696.907808833,61.03515625,-20.99609375,336.9140625,20.5078125
440696.911715083,8.30078125,-21.484375,-296.38671875,11.23046875
440696.915621333,-3.90625,-14.6484375,-312.5,-13.18359375
440696.919527583,32.71484375,0.0,328.125,-4.39453125
440696.923433833,50.78125,-2.44140625,374.0234375,14.16015625
440696.927340083,18.5546875,-8.7890625,-481.93359375,20.5078125
440696.931246333,7.8125,-1.953125,-537.59765625,10.7421875
440696.938895875,41.015625,1.953125,187.98828125,4.39453125
440696.942802125,51.7578125,-0.48828125,623.046875,8.30078125
440696.946708375,20.99609375,-14.16015625,161.1328125,9.765625
440696.950614625,1.46484375,-20.5078125,-301.7578125,17.08984375
440696.954520875,16.11328125,-13.671875,77.63671875,6.34765625
440696.958427125,48.33984375,-14.6484375,57.6171875,13.18359375
440696.962333375,37.109375,-14.16015625,-254.8828125,17.08984375
440696.966239625,0.48828125,-12.20703125,-186.5234375,-1.953125
440696.970145875,5.859375,-20.01953125,-115.72265625,-9.27734375
440696.974052125,36.62109375,-25.87890625,453.125,-6.34765625
440696.977958375,30.76171875,-31.25,619.140625,5.37109375
440696.981864625,-18.5546875,-31.25,14.6484375,3.41796875
440696.962448625,-33.69140625,-34.1796875,-271.484375,-4.39453125
440696.966354875,2.44140625,-36.62109375,-276.85546875,-14.16015625
440696.970261125,18.06640625,-27.34375,164.55078125,-16.6015625
440696.974167375,-2.44140625,-28.3203125,260.25390625,-6.34765625
440696.978073625,-13.671875,-32.71484375,-355.46875,-4.8828125
