lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX
7854.32064375,-12.20703125,-0.48828125,-7.32421875,-0.9765625,0.0
7854.32455,-2.44140625,0.9765625,-3.90625,3.41796875,0.0
7854.32845625,-6.34765625,6.34765625,-32.2265625,0.9765625,0.0
7854.3323625,-13.671875,-3.41796875,-41.015625,-1.46484375,0.0
7854.33626875,-2.44140625,-9.765625,-40.0390625,13.18359375,0.0
7854.340175,-7.8125,-3.41796875,-43.9453125,14.6484375,0.0
7854.34408125,-6.8359375,-1.953125,18.5546875,-10.25390625,0.0
7854.3479875,4.8828125,0.48828125,33.203125,-4.8828125,0.0
7854.35189375,11.23046875,-2.9296875,30.2734375,13.671875,0.0
7854.3558,7.8125,-3.41796875,25.390625,8.7890625,0.0
7854.35970625,2.44140625,-2.44140625,-2.9296875,2.44140625,0.0
7854.3636125,9.27734375,-11.23046875,0.48828125,0.48828125,0.0
7854.384376,10.25390625,-1.46484375,7.8125,2.9296875,0.0
7854.38828225,-3.41796875,8.30078125,-11.71875,7.8125,0.0
7854.378243708,-16.11328125,-4.39453125,-21.484375,12.6953125,0.0
7854.382149958,-18.5546875,0.9765625,-19.04296875,6.8359375,0.0
7854.386056208,-24.4140625,8.7890625,-18.06640625,3.41796875,0.0
7854.389962458,-16.11328125,4.39453125,-32.71484375,14.6484375,0.0
7854.393868708,-1.953125,8.7890625,-38.57421875,18.5546875,0.0
7854.397774958,-15.625,6.8359375,-31.73828125,-6.8359375,0.0
7854.401681208,-36.62109375,-2.9296875,6.34765625,-28.3203125,0.0
7854.405587458,-31.73828125,2.44140625,-27.34375,-20.5078125,0.0
7854.409493708,-31.25,4.39453125,-57.12890625,-19.04296875,0.0
7854.413399958,-60.546875,2.9296875,-29.78515625,-34.1796875,0.0
7854.433446416,-62.98828125,5.37109375,-18.5546875,-49.8046875,0.0
7854.418514916,-54.19921875,-0.9765625,-51.26953125,-53.7109375,0.0
7854.422421166,-55.6640625,-0.9765625,-56.640625,-50.78125,0.0
7854.426327416,-54.6875,-0.48828125,-17.578125,-45.41015625,0.0
7854.430233666,-47.36328125,1.953125,-33.69140625,-41.015625,0.0
7854.434139916,-43.45703125,7.8125,-42.96875,-44.43359375,0.0
7854.438046166,-42.48046875,5.859375,-26.3671875,-21.97265625,0.0
7854.441952416,-29.296875,4.39453125,-2.9296875,-10.7421875,0.0
7854.445858666,-23.92578125,5.37109375,1.953125,-25.87890625,0.0
7854.449764916,-25.390625,4.39453125,-42.48046875,-17.08984375,0.0
7854.453671166,-26.3671875,-9.765625,-60.546875,-6.34765625,0.0
7854.457577416,-37.59765625,-15.13671875,-51.26953125,-20.01953125,0.0
7854.462081416,-41.50390625,-3.90625,-54.19921875,-31.73828125,0.0
7854.465987666,-39.55078125,-9.765625,-71.2890625,-32.71484375,0.0
7854.469893916,-38.57421875,-19.04296875,-85.44921875,-29.296875,0.0
7854.473800166,-34.1796875,-9.27734375,-70.80078125,-24.4140625,0.0
7854.477706416,-27.83203125,-10.7421875,-72.75390625,-21.484375,0.0
7854.481612666,-27.34375,-20.99609375,-98.6328125,-29.78515625,0.0
7854.485518916,-32.2265625,-20.5078125,-85.9375,-27.83203125,0.0
7854.489425166,-38.57421875,-21.97265625,-42.48046875,-21.97265625,0.0
7854.493331416,-43.45703125,-23.92578125,-45.41015625,-23.4375,0.0
7854.497237666,-38.0859375,-23.92578125,-78.125,-19.04296875,0.0
7854.501143916,-32.2265625,-31.73828125,-79.58984375,-19.53125,0.0
7854.505050166,-35.15625,-33.203125,-65.91796875,-12.6953125,0.0
7854.5045295,-45.41015625,-26.85546875,-65.91796875,-5.859375,0.0
7854.50843575,-42.48046875,-26.85546875,-70.3125,-18.06640625,0.0
7854.512342,-34.66796875,-29.78515625,-62.01171875,-28.80859375,0.0
7854.51624825,-41.50390625,-38.57421875,-68.84765625,-49.31640625,0.0
7854.5201545,-47.8515625,-41.9921875,-87.890625,-69.82421875,0.0
7854.52406075,-61.5234375,-37.59765625,-102.5390625,-59.08203125,0.0
7854.527967,-61.5234375,-35.64453125,-61.03515625,-41.9921875,0.0
7854.53187325,-39.0625,-29.78515625,-61.03515625,-24.90234375,0.0
7854.5357795,-52.24609375,-25.87890625,-92.28515625,-22.94921875,0.0
7854.53968575,-64.94140625,-21.484375,-71.2890625,-30.76171875,0.0
7854.543592,-51.26953125,-23.92578125,-49.31640625,-35.15625,0.0
7854.54749825,-35.64453125,-32.71484375,-68.84765625,-51.26953125,0.0
7854.57172675,-40.0390625,-34.66796875,-82.03125,-59.08203125,0.0
7854.575633,-36.62109375,-32.71484375,-53.22265625,-54.19921875,0.0
7854.57953925,-34.1796875,-30.2734375,-34.66796875,-47.36328125,0.0
7854.5834455,-57.12890625,-30.2734375,-55.17578125,-33.69140625,0.0
7854.58735175,-68.359375,-22.94921875,-95.21484375,-28.80859375,0.0
7854.591258,-48.33984375,-15.625,-82.03125,-30.2734375,0.0
7854.59516425,-29.78515625,-10.25390625,-50.29296875,-33.69140625,0.0
7854.5990705,-29.296875,-8.30078125,-40.52734375,-37.59765625,0.0
7854.60297675,-32.2265625,-14.16015625,-72.265625,-35.64453125,0.0
7854.606883,-36.1328125,-19.53125,-78.125,-22.94921875,0.0
7854.61078925,-41.50390625,-27.83203125,-21.484375,-22.4609375,0.0
7854.6146955,-42.48046875,-31.25,-39.0625,-26.85546875,0.0
7854.593463166,-33.69140625,-16.6015625,-64.453125,-19.53125,0.0
7854.597369416,-32.2265625,-5.37109375,-54.6875,-10.7421875,0.0
7854.601275666,-29.296875,-2.9296875,-48.33984375,-10.7421875,0.0
7854.605181916,-29.78515625,-2.9296875,-67.3828125,-5.37109375,0.0
7854.609088166,-37.109375,-13.18359375,-69.82421875,-10.25390625,0.0
7854.612994416,-31.25,-15.13671875,-71.2890625,-15.625,0.0
7854.616900666,-17.578125,-6.34765625,-39.0625,-23.92578125,0.0
7854.620806916,-13.18359375,-15.13671875,-40.52734375,-36.62109375,0.0
7854.624713166,-20.5078125,-28.80859375,-87.890625,-23.4375,0.0
7854.628619416,-23.4375,-18.06640625,-59.08203125,-9.765625,0.0
7854.632525666,-23.92578125,-6.34765625,-41.9921875,-17.578125,0.0
7854.636431916,-20.5078125,0.48828125,-67.3828125,-10.7421875,0.0
7854.637358833,-15.13671875,3.90625,-55.17578125,-14.16015625,0.0
7854.641265083,-11.71875,5.37109375,-50.78125,-12.6953125,0.0
7854.645171333,-19.53125,18.06640625,-56.640625,8.30078125,0.0
7854.649077583,-20.01953125,15.625,-64.94140625,20.01953125,0.0
7854.652983833,-16.11328125,8.30078125,-72.265625,3.41796875,0.0
7854.656890083,-17.578125,15.625,-59.5703125,-5.859375,0.0
7854.660796333,-6.34765625,13.671875,-52.734375,20.01953125,0.0
7854.664702583,3.41796875,5.859375,-63.4765625,33.203125,0.0
7854.668608833,20.01953125,8.7890625,-54.19921875,43.9453125,0.0
7854.672515083,24.4140625,4.8828125,-16.6015625,41.50390625,0.0
7854.676421333,20.01953125,3.41796875,-60.546875,41.9921875,0.0
7854.680327583,21.97265625,8.30078125,-63.4765625,46.875,0.0
7854.678217791,30.76171875,1.953125,-37.109375,42.96875,0.0
7854.682124041,28.80859375,0.48828125,-37.59765625,41.50390625,0.0
7854.686030291,20.01953125,6.34765625,-62.98828125,25.87890625,0.0
7854.689936541,24.4140625,9.27734375,-63.96484375,28.3203125,0.0
