lsl_timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
6939.2525348,-2497192.0,-665827.0,291059.0,13176.0,-1296307.0,-1405304.0,-548424.0,1719384.0,1032429.0,771901.0,-434184.0,351213.0,-502413.0,-700515.0,-3141005.0,969667.0
6939.2533652,-2498018.0,-668685.0,286408.0,8259.0,-1300125.0,-1407939.0,-549731.0,1720248.0,1033757.0,769656.0,-437800.0,347667.0,-505149.0,-701933.0,-3141176.0,969501.0
6939.2534215,-2497890.0,-665149.0,289917.0,12029.0,-1296408.0,-1404824.0,-547165.0,1721341.0,1032456.0,772275.0,-434808.0,351315.0,-501901.0,-699981.0,-3139501.0,969981.0
6939.2534724,-2502109.0,-672504.0,285971.0,8765.0,-1299187.0,-1406552.0,-547939.0,1722701.0,1028259.0,765459.0,-438893.0,347336.0,-505800.0,-701971.0,-3140200.0,971608.0
6939.2535213,-2495512.0,-662936.0,294493.0,16499.0,-1292365.0,-1401651.0,-544392.0,1724584.0,1032328.0,774221.0,-431112.0,355005.0,-499283.0,-696877.0,-3136946.0,973512.0
6939.2536025,-2495192.0,-664915.0,290077.0,10376.0,-1299640.0,-1409107.0,-550979.0,1719101.0,1035917.0,773117.0,-434792.0,349677.0,-505277.0,-703304.0,-3142968.0,967832.0
6939.2536648,-2498909.0,-666371.0,291747.0,14072.0,-1294888.0,-1404083.0,-547304.0,1721875.0,1031368.0,771363.0,-433917.0,352051.0,-501240.0,-699645.0,-3139394.0,970931.0
6939.2537191,-2497053.0,-665917.0,289768.0,10760.0,-1299448.0,-1408637.0,-550851.0,1719971.0,1033112.0,771277.0,-435581.0,348957.0,-506557.0,-704195.0,-3143133.0,969496.0
6939.2537695,-2495426.0,-662131.0,295389.0,16883.0,-1292093.0,-1401603.0,-545032.0,1723229.0,1032600.0,774605.0,-429651.0,354648.0,-499805.0,-698056.0,-3138477.0,972963.0
6939.2538185,-2492653.0,-662200.0,291917.0,11848.0,-1299485.0,-1410184.0,-553464.0,1715789.0,1037149.0,774083.0,-431821.0,351069.0,-505693.0,-704941.0,-3145762.0,965784.0
6939.2538713,-2498194.0,-666504.0,290173.0,12003.0,-1296835.0,-1406643.0,-549245.0,1720163.0,1031512.0,770349.0,-434184.0,350840.0,-503901.0,-702211.0,-3141800.0,969859.0
6939.2539209,-2495778.0,-664061.0,290248.0,10984.0,-1298349.0,-1408483.0,-552221.0,1717725.0,1034131.0,772829.0,-433939.0,349645.0,-505400.0,-703795.0,-3143154.0,968077.0
6939.2548678,-2496792.0,-666035.0,291384.0,12979.0,-1296152.0,-1404813.0,-547587.0,1721331.0,1033795.0,771677.0,-433971.0,351720.0,-502125.0,-699992.0,-3140082.0,970589.0
6939.2549145,-2494610.0,-664867.0,291667.0,12531.0,-1297411.0,-1407475.0,-550680.0,1717848.0,1034669.0,772115.0,-434173.0,351021.0,-504035.0,-702765.0,-3142882.0,967059.0
6939.2549514,-2497864.0,-666163.0,292008.0,15320.0,-1293032.0,-1401523.0,-544104.0,1725251.0,1030397.0,770696.0,-433677.0,352744.0,-500168.0,-697528.0,-3136589.0,973683.0
6939.2549875,-2491853.0,-660616.0,295453.0,16531.0,-1293640.0,-1404141.0,-548797.0,1718515.0,1036397.0,775779.0,-429293.0,354845.0,-500141.0,-699123.0,-3140904.0,967517.0
6939.255024,-2498728.0,-668691.0,288744.0,11512.0,-1297421.0,-1405784.0,-548557.0,1721192.0,1031939.0,768920.0,-435699.0,349811.0,-503832.0,-701251.0,-3140728.0,969816.0
6939.2550645,-2494733.0,-664483.0,291987.0,13048.0,-1296621.0,-1405955.0,-549464.0,1718115.0,1033971.0,772275.0,-432840.0,351229.0,-503048.0,-701453.0,-3141778.0,966979.0
6939.2551036,-2498269.0,-666568.0,290109.0,13688.0,-1293352.0,-1401053.0,-543299.0,1726365.0,1030573.0,770301.0,-435053.0,351923.0,-500915.0,-697507.0,-3135938.0,975165.0
6939.2551429,-2493746.0,-663683.0,295213.0,17197.0,-1292296.0,-1401987.0,-546520.0,1721277.0,1034349.0,772840.0,-430317.0,355555.0,-498717.0,-697309.0,-3138242.0,970493.0
6939.255182,-2495725.0,-667384.0,289144.0,10691.0,-1297347.0,-1405736.0,-547880.0,1722013.0,1035085.0,769811.0,-435741.0,349693.0,-503629.0,-700835.0,-3139826.0,970771.0
6939.2552214,-2493816.0,-664979.0,292115.0,12728.0,-1296493.0,-1405283.0,-547656.0,1720872.0,1034179.0,772579.0,-433837.0,351640.0,-502552.0,-700344.0,-3140296.0,969709.0
6939.2552609,-2496397.0,-668797.0,288216.0,9949.0,-1297032.0,-1404131.0,-544840.0,1724957.0,1031704.0,768749.0,-437661.0,349363.0,-503128.0,-699437.0,-3137512.0,973085.0
6939.2552965,-2491746.0,-661864.0,295181.0,16557.0,-1292077.0,-1401160.0,-544163.0,1723608.0,1034963.0,775560.0,-430787.0,355373.0,-498083.0,-696392.0,-3136781.0,972408.0
6939.2553611,-2494888.0,-667352.0,287987.0,9267.0,-1299981.0,-1407565.0,-549299.0,1720643.0,1036109.0,770765.0,-436733.0,348760.0,-505192.0,-702227.0,-3141650.0,969224.0
6939.2554064,-2495821.0,-665891.0,290968.0,12408.0,-1296307.0,-1404781.0,-548125.0,1720947.0,1033507.0,772099.0,-434013.0,351395.0,-501965.0,-699949.0,-3140397.0,969560.0
6939.2554431,-2496536.0,-667480.0,288824.0,9587.0,-1299448.0,-1406344.0,-547885.0,1722339.0,1033016.0,769421.0,-436648.0,347779.0,-505597.0,-702669.0,-3140344.0,970765.0
6939.2554789,-2492632.0,-660568.0,295448.0,17581.0,-1291235.0,-1399976.0,-543064.0,1724637.0,1034392.0,775752.0,-430413.0,355341.0,-498141.0,-695827.0,-3135293.0,973379.0
