lsl_timestamp,wall_time,code,is_target,char_idx,rep
1785789212.8203125,1785789212.820283,8,1,0,1
1785789213.0078125,1785789213.001516,12,0,0,1
1785789213.1875,1785789213.182952,1,0,0,1
1785789213.3671875,1785789213.363731,9,0,0,1
1785789213.546875,1785789213.544047,6,0,0,1
1785789213.7265625,1785789213.723366,7,0,0,1
1785789213.90625,1785789213.904417,4,0,0,1
1785789214.0859375,1785789214.085354,11,0,0,1
1785789214.265625,1785789214.264714,5,0,0,1
1785789214.4453125,1785789214.445116,2,1,0,1
1785789214.6328125,1785789214.625429,10,0,0,1
1785789214.8125,1785789214.805921,3,0,0,1
1785789214.9921875,1785789214.986866,9,0,0,2
1785789215.171875,1785789215.168077,12,0,0,2
1785789215.3515625,1785789215.348005,5,0,0,2
1785789215.53125,1785789215.529302,2,1,0,2
1785789215.7109375,1785789215.709569,3,0,0,2
1785789215.890625,1785789215.888028,4,0,0,2
1785789216.0703125,1785789216.068606,6,0,0,2
1785789216.25,1785789216.249743,11,0,0,2
1785789216.4375,1785789216.43082,10,0,0,2
1785789216.609375,1785789216.608447,7,0,0,2
1785789216.7890625,1785789216.786346,1,0,0,2
1785789216.96875,1785789216.966751,8,1,0,2
1785789217.1484375,1785789217.147051,5,0,0,3
1785789217.328125,1785789217.325115,8,1,0,3
1785789217.5078125,1785789217.504345,3,0,0,3
1785789217.6875,1785789217.685376,7,0,0,3
1785789217.8671875,1785789217.866157,2,1,0,3
1785789218.046875,1785789218.046249,12,0,0,3
1785789218.234375,1785789218.227061,4,0,0,3
1785789218.4140625,1785789218.407392,9,0,0,3
1785789218.59375,1785789218.588177,10,0,0,3
1785789218.7734375,1785789218.768452,11,0,0,3
1785789218.953125,1785789218.949437,1,0,0,3
1785789219.1328125,1785789219.129699,6,0,0,3
1785789219.3125,1785789219.310327,7,0,0,4
1785789219.4921875,1785789219.490086,1,0,0,4
1785789219.671875,1785789219.670527,5,0,0,4
1785789219.859375,1785789219.851774,12,0,0,4
1785789220.03125,1785789220.031056,6,0,0,4
1785789220.21875,1785789220.212065,2,1,0,4
1785789220.3984375,1785789220.393185,3,0,0,4
1785789220.578125,1785789220.572963,11,0,0,4
1785789220.7578125,1785789220.753966,10,0,0,4
1785789220.9375,1785789220.934967,8,1,0,4
1785789221.1171875,1785789221.116069,4,0,0,4
1785789221.296875,1785789221.295992,9,0,0,4
1785789221.484375,1785789221.476634,10,0,0,5
1785789221.6640625,1785789221.657208,12,0,0,5
1785789221.84375,1785789221.837903,8,1,0,5
1785789222.0234375,1785789222.018134,4,0,0,5
1785789222.203125,1785789222.198984,11,0,0,5
1785789222.3828125,1785789222.380095,6,0,0,5
1785789222.5625,1785789222.558693,1,0,0,5
1785789222.7421875,1785789222.738084,5,0,0,5
1785789222.921875,1785789222.918524,3,0,0,5
1785789223.1015625,1785789223.098176,2,1,0,5
1785789223.28125,1785789223.278799,9,0,0,5
1785789223.4609375,1785789223.459696,7,0,0,5
1785789223.640625,1785789223.640422,6,0,0,6
1785789223.828125,1785789223.821434,9,0,0,6
1785789224.0078125,1785789224.002083,3,0,0,6
1785789224.1875,1785789224.182585,2,1,0,6
1785789224.3671875,1785789224.363724,4,0,0,6
1785789224.546875,1785789224.543299,1,0,0,6
1785789224.7265625,1785789224.723849,11,0,0,6
1785789224.90625,1785789224.904692,7,0,0,6
1785789225.0859375,1785789225.084344,8,1,0,6
1785789225.265625,1785789225.26474,10,0,0,6
1785789225.453125,1785789225.445407,12,0,0,6
1785789225.6328125,1785789225.626001,5,0,0,6
1785789225.8125,1785789225.80666,10,0,0,7
1785789225.9921875,1785789225.987542,2,1,0,7
1785789226.171875,1785789226.167888,8,1,0,7
1785789226.3515625,1785789226.348719,12,0,0,7
1785789226.53125,1785789226.529171,5,0,0,7
