lsl_timestamp,code,is_target,char_idx,rep
97305.800576291,8,0,0,1
97305.981045333,12,0,0,1
97306.160674875,1,0,0,1
97306.341245541,9,0,0,1
97306.521730125,6,0,0,1
97306.702313291,7,0,0,1
97306.882937916,4,0,0,1
97307.063579583,11,0,0,1
97307.242369,5,1,0,1
97307.423416583,2,0,0,1
97307.602870916,10,1,0,1
97307.782588208,3,0,0,1
97307.963120875,9,0,0,2
97308.143735416,12,0,0,2
97308.323282125,5,1,0,2
97308.503941708,2,0,0,2
97308.682814541,3,0,0,2
97308.863524958,4,0,0,2
97309.044557333,6,0,0,2
97309.224213666,11,0,0,2
97309.404955791,10,1,0,2
97309.585728291,7,0,0,2
97309.766044166,1,0,0,2
97309.94602975,8,0,0,2
97310.125405125,5,1,0,3
97310.305912125,8,0,0,3
97310.486198916,3,0,0,3
97310.665924666,7,0,0,3
97310.844992541,2,0,0,3
97311.024577416,12,0,0,3
97311.205339625,4,0,0,3
97311.386238916,9,0,0,3
97311.56587175,10,1,0,3
97311.745449416,11,0,0,3
97311.925929,1,0,0,3
97312.105353916,6,0,0,3
97312.285819625,7,0,0,4
97312.465447,1,0,0,4
97312.64588125,5,1,0,4
97312.826046708,12,0,0,4
97313.006706416,6,0,0,4
97313.186389958,2,0,0,4
97313.366248708,3,0,0,4
97313.544779166,11,0,0,4
97313.725456375,10,1,0,4
97313.905768958,8,0,0,4
97314.085949166,4,0,0,4
97314.266289625,9,0,0,4
97314.447237666,10,1,0,5
97314.627610375,12,0,0,5
97314.807527291,8,0,0,5
97314.988712916,4,0,0,5
97315.168511416,11,0,0,5
97315.348547791,6,0,0,5
97315.527657291,1,0,0,5
97315.707352541,5,1,0,5
97315.888257458,3,0,0,5
97316.067955833,2,0,0,5
97316.24789325,9,0,0,5
97316.428184,7,0,0,5
97316.607560416,6,0,0,6
97316.78697825,9,0,0,6
97316.966895541,3,0,0,6
97317.146173291,2,0,0,6
97317.326381458,4,0,0,6
97317.5069895,1,0,0,6
97317.686772416,11,0,0,6
97317.86730025,7,0,0,6
97318.047776791,8,0,0,6
97318.227248375,10,1,0,6
97318.407558041,12,0,0,6
97318.587842166,5,1,0,6
97318.766969333,10,1,0,7
97318.947447958,2,0,0,7
97319.128087791,8,0,0,7
97319.307893958,12,0,0,7
97319.48829525,5,1,0,7
97319.669024291,4,0,0,7
97319.84871025,1,0,0,7
97320.028721166,9,0,0,7
97320.2093865,6,0,0,7
97320.389213833,3,0,0,7
97320.569226291,11,0,0,7
97320.749376208,7,0,0,7
97320.930155125,2,0,0,8
97321.109512583,9,0,0,8
97321.289972375,7,0,0,8
97321.4706245,4,0,0,8
97321.650773041,5,1,0,8
97321.831226,12,0,0,8
97322.011628791,3,0,0,8
97322.191012708,10,1,0,8
97322.370401083,11,0,0,8
97322.550793833,1,0,0,8
97322.731415666,8,0,0,8
97322.910888208,6,0,0,8
97323.090822166,11,0,0,9
97323.271504125,6,0,0,9
97323.450925958,12,0,0,9
97323.631092041,8,0,0,9
97323.811366166,2,0,0,9
97323.990887708,7,0,0,9
97324.171511375,5,1,0,9
97324.351593208,10,1,0,9
97324.5304815,1,0,0,9
97324.710744583,4,0,0,9
97324.889307791,9,0,0,9
97325.068983125,3,0,0,9
97325.249163708,7,0,0,10
97325.428793416,12,0,0,10
97325.609206083,3,0,0,10
97325.789218125,2,0,0,10
97325.969719625,9,0,0,10
97326.149250458,11,0,0,10
97326.328665666,4,0,0,10
97326.507785,1,0,0,10
97326.686583416,5,1,0,10
97326.866216875,8,0,0,10
97327.047095041,6,0,0,10
97327.226881208,10,1,0,10
97327.407776291,11,0,0,11
97327.588341208,12,0,0,11
97327.768261,2,0,0,11
97327.949026708,3,0,0,11
97328.129253541,9,0,0,11
97328.308956791,10,1,0,11
97328.489259125,5,1,0,11
97328.669238708,4,0,0,11
97328.849521,6,0,0,11
97329.029469,8,0,0,11
97329.209971416,1,0,0,11
97329.390314625,7,0,0,11
97329.570682541,4,0,0,12
97329.751517833,10,1,0,12
97329.930476583,3,0,0,12
97330.111339666,7,0,0,12
97330.290884875,2,0,0,12
97330.47143175,12,0,0,12
97330.651836833,5,1,0,12
97330.83253375,8,0,0,12
97331.01315325,6,0,0,12
97331.192692416,11,0,0,12
97331.373579333,9,0,0,12
97331.553784083,1,0,0,12
97331.73410425,3,0,0,13
97331.91464425,10,1,0,13
97332.095027791,8,0,0,13
97332.274401875,6,0,0,13
97332.454096375,4,0,0,13
97332.634628166,7,0,0,13
97332.8148145,11,0,0,13
97332.995340666,12,0,0,13
97333.176168416,1,0,0,13
97333.356463208,5,1,0,13
97333.536354083,9,0,0,13
97333.716112958,2,0,0,13
97333.896591833,7,0,0,14
97334.076376583,8,0,0,14
97334.256762666,4,0,0,14
97334.4374805,12,0,0,14
97334.617919708,11,0,0,14
97334.797582125,1,0,0,14
97334.978384291,9,0,0,14
97335.15759475,6,0,0,14
97335.337605125,3,0,0,14
97335.518009,10,1,0,14
97335.698543958,2,0,0,14
97335.877683083,5,1,0,14
97336.057544,9,0,0,15
97336.23805475,3,0,0,15
97336.4183785,2,0,0,15
97336.598858,10,1,0,15
97336.778960958,1,0,0,15
97336.959806625,7,0,0,15
97337.140231708,4,0,0,15
97337.320099666,6,0,0,15
97337.500547125,8,0,0,15
97337.680953208,12,0,0,15
97337.86027175,5,1,0,15
97338.040951,11,0,0,15
97340.730932791,1,0,1,1
97340.910484708,10,0,1,1
97341.090932791,11,0,1,1
97341.271376,8,1,1,1
97341.452005083,9,0,1,1
97341.632142375,12,0,1,1
97341.812845708,3,0,1,1
97341.993223458,2,1,1,1
97342.172996708,5,0,1,1
97342.352207041,4,0,1,1
97342.532652083,7,0,1,1
97342.713447208,6,0,1,1
97342.893700625,9,0,1,2
97343.07426525,5,0,1,2
97343.255092125,8,1,1,2
97343.436019833,11,0,1,2
97343.616266416,2,1,1,2
97343.796815708,6,0,1,2
97343.976720875,10,0,1,2
97344.156426583,3,0,1,2
97344.335583625,7,0,1,2
97344.51631,12,0,1,2
97344.695236833,4,0,1,2
97344.874667333,1,0,1,2
97345.055301625,7,0,1,3
97345.236039375,2,1,1,3
97345.416326833,3,0,1,3
97345.596709958,10,0,1,3
97345.776328666,1,0,1,3
97345.956871458,6,0,1,3
97346.137544583,5,0,1,3
97346.31816325,11,0,1,3
97346.498844,8,1,1,3
97346.67837025,12,0,1,3
97346.858102,4,0,1,3
97347.038274166,9,0,1,3
97347.219193125,6,0,1,4
97347.399464041,4,0,1,4
97347.579960083,8,1,1,4
97347.759476541,3,0,1,4
97347.939302583,9,0,1,4
97348.120199125,10,0,1,4
97348.300916125,2,1,1,4
97348.481360166,5,0,1,4
97348.661768875,1,0,1,4
97348.841326458,7,0,1,4
97349.02062175,12,0,1,4
97349.200991875,11,0,1,4
97349.381589125,9,0,1,5
97349.562116875,4,0,1,5
97349.741282333,10,0,1,5
97349.921724875,6,0,1,5
97350.102097,8,1,1,5
97350.282137125,1,0,1,5
97350.461821166,2,1,1,5
97350.642294416,11,0,1,5
97350.822104416,7,0,1,5
97351.0024335,3,0,1,5
97351.181729,12,0,1,5
97351.361269,5,0,1,5
97351.539777666,6,0,1,6
97351.717611,5,0,1,6
97351.895401,7,0,1,6
97352.075676666,11,0,1,6
97352.255431,12,0,1,6
97352.436181833,2,1,1,6
97352.616207833,4,0,1,6
97352.795555875,1,0,1,6
97352.97625225,9,0,1,6
97353.15564825,3,0,1,6
97353.335822875,8,1,1,6
97353.515586125,10,0,1,6
97353.695892708,6,0,1,7
97353.876241583,12,0,1,7
97354.057167,9,0,1,7
97354.237718625,1,0,1,7
97354.417845541,11,0,1,7
97354.595730083,5,0,1,7
97354.774047291,3,0,1,7
97354.954458416,7,0,1,7
97355.134834666,2,1,1,7
97355.315163125,8,1,1,7
97355.495802333,4,0,1,7
97355.676238166,10,0,1,7
97355.855805208,9,0,1,8
97356.035778375,11,0,1,8
97356.215277583,8,1,1,8
97356.395596916,10,0,1,8
97356.57399325,2,1,1,8
97356.753653625,12,0,1,8
97356.934166166,7,0,1,8
97357.114177083,6,0,1,8
97357.294585916,4,0,1,8
97357.474633416,3,0,1,8
97357.6545315,1,0,1,8
97357.834093375,5,0,1,8
97358.014521666,10,0,1,9
97358.194779875,1,0,1,9
97358.374664916,3,0,1,9
