lsl_timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
6223.3848248,2055880.0,3360461.0,3771320.0,3972018.0,3081426.0,3159901.0,3328088.0,5883197.0,4182104.0,5078189.0,3612509.0,4305927.0,3693869.0,3056456.0,856296.0,4940066.0
6223.384865,2043117.0,3344440.0,3756946.0,3959218.0,3070957.0,3152445.0,3323277.0,5880599.0,4167330.0,5062135.0,3597672.0,4292279.0,3681922.0,3048365.0,852296.0,4938141.0
6223.3849052,2043085.0,3347144.0,3760072.0,3961906.0,3074397.0,3156632.0,3327453.0,5885170.0,4166344.0,5064471.0,3600621.0,4295447.0,3686376.0,3053314.0,856957.0,4943101.0
6223.3849455,2047507.0,3354552.0,3768162.0,3971736.0,3085394.0,3167869.0,3338194.0,5895431.0,4176909.0,5073261.0,3609528.0,4306461.0,3697245.0,3063506.0,867421.0,4952813.0
6223.3849855,2056579.0,3361677.0,3772541.0,3973624.0,3084781.0,3163410.0,3331442.0,5886231.0,4183645.0,5079453.0,3613730.0,4307927.0,3696253.0,3059986.0,860349.0,4942941.0
6223.3850254,2046200.0,3345949.0,3756925.0,3958578.0,3070242.0,3151954.0,3322706.0,5880327.0,4171458.0,5063847.0,3597293.0,4292247.0,3681816.0,3047853.0,850867.0,4936455.0
6223.3851125,2043299.0,3347501.0,3759042.0,3961746.0,3073538.0,3155906.0,3327437.0,5885346.0,4165816.0,5064423.0,3599181.0,4295101.0,3685480.0,3051858.0,856136.0,4942386.0
6223.3851777,2043736.0,3348200.0,3765245.0,3970098.0,3083677.0,3166472.0,3338322.0,5895821.0,4172258.0,5067373.0,3606077.0,4304322.0,3696152.0,3062354.0,867261.0,4953101.0
6223.3859733,2042675.0,3346072.0,3758738.0,3960584.0,3072370.0,3153981.0,3325314.0,5883362.0,4164776.0,5063229.0,3598946.0,4293346.0,3683997.0,3049874.0,853933.0,4939885.0
6223.3860165,2046067.0,3351245.0,3764344.0,3967346.0,3080845.0,3163693.0,3336109.0,5895223.0,4172968.0,5069335.0,3605922.0,4301586.0,3693570.0,3059981.0,865080.0,4951527.0
6223.386053,2056024.0,3362450.0,3774296.0,3976056.0,3086706.0,3167549.0,3337709.0,5894162.0,4183485.0,5080050.0,3615720.0,4309415.0,3698786.0,3063768.0,866035.0,4950045.0
6223.3860996,2052168.0,3353090.0,3762829.0,3962504.0,3071650.0,3151405.0,3322210.0,5879719.0,4178269.0,5071010.0,3603565.0,4295682.0,3683624.0,3048008.0,850632.0,4936781.0
6223.3861709,2042067.0,3344344.0,3757634.0,3960189.0,3071874.0,3154168.0,3325069.0,5882589.0,4164141.0,5061469.0,3598088.0,4292589.0,3683576.0,3049944.0,853464.0,4939655.0
