lsl_timestamp,wall_time,code,is_target,char_idx,rep
1788484888.9921875,1788484888.98843,10,1,0,1
1788484889.171875,1788484889.168304,7,0,0,1
1788484889.3515625,1788484889.348543,11,0,0,1
1788484889.53125,1788484889.528211,8,0,0,1
1788484889.7109375,1788484889.707106,3,0,0,1
1788484889.8867188,1788484889.886576,1,0,0,1
1788484890.0703125,1788484890.066634,5,1,0,1
1788484890.25,1788484890.246462,6,0,0,1
1788484890.4257812,1788484890.425549,9,0,0,1
1788484890.6054688,1788484890.605106,12,0,0,1
1788484890.7851562,1788484890.78489,2,0,0,1
1788484890.96875,1788484890.965359,4,0,0,1
1788484891.1484375,1788484891.144736,11,0,0,2
1788484891.3242188,1788484891.323393,9,0,0,2
1788484891.5039062,1788484891.502703,4,0,0,2
1788484891.6835938,1788484891.68306,8,0,0,2
1788484891.8671875,1788484891.863368,6,0,0,2
1788484892.046875,1788484892.043258,7,0,0,2
1788484892.2265625,1788484892.223976,2,0,0,2
1788484892.40625,1788484892.403839,12,0,0,2
1788484892.5859375,1788484892.583707,3,0,0,2
1788484892.765625,1788484892.764322,5,1,0,2
1788484892.9453125,1788484892.944659,1,0,0,2
1788484893.125,1788484893.124806,10,1,0,2
1788484893.3085938,1788484893.305084,1,0,0,3
1788484893.484375,1788484893.484349,9,0,0,3
1788484893.6640625,1788484893.663964,11,0,0,3
1788484893.8476562,1788484893.844835,7,0,0,3
1788484894.0273438,1788484894.024556,2,0,0,3
1788484894.2070312,1788484894.204969,5,1,0,3
1788484894.3867188,1788484894.385206,12,0,0,3
1788484894.5664062,1788484894.564599,10,1,0,3
1788484894.7460938,1788484894.74452,8,0,0,3
1788484894.9257812,1788484894.923631,4,0,0,3
1788484895.1054688,1788484895.102835,6,0,0,3
1788484895.2851562,1788484895.283847,3,0,0,3
1788484895.4648438,1788484895.463705,11,0,0,4
1788484895.6445312,1788484895.643802,6,0,0,4
1788484895.8242188,1788484895.822485,1,0,0,4
1788484896.0039062,1788484896.001589,8,0,0,4
1788484896.1835938,1788484896.18085,4,0,0,4
1788484896.3632812,1788484896.360557,7,0,0,4
1788484896.5429688,1788484896.539318,3,0,0,4
1788484896.7226562,1788484896.71998,5,1,0,4
1788484896.9023438,1788484896.900878,12,0,0,4
1788484897.0820312,1788484897.081375,9,0,0,4
1788484897.265625,1788484897.261767,10,1,0,4
1788484897.4453125,1788484897.44161,2,0,0,4
1788484897.625,1788484897.622075,11,0,0,5
1788484897.8046875,1788484897.802851,7,0,0,5
1788484897.984375,1788484897.983127,8,0,0,5
1788484898.1640625,1788484898.163382,10,1,0,5
1788484898.34375,1788484898.343049,6,0,0,5
1788484898.5234375,1788484898.52244,1,0,0,5
1788484898.703125,1788484898.702614,3,0,0,5
1788484898.8867188,1788484898.882967,4,0,0,5
1788484899.0664062,1788484899.063295,2,0,0,5
