lsl_timestamp,wall_time,code,is_target,char_idx,rep
1788484392.2460938,1788484392.245654,6,0,0,1
1788484392.4257812,1788484392.424894,10,0,0,1
1788484392.6054688,1788484392.604947,1,0,0,1
1788484392.7851562,1788484392.784109,11,0,0,1
1788484392.96875,1788484392.964851,5,0,0,1
1788484393.1484375,1788484393.144972,4,1,0,1
1788484393.328125,1788484393.324857,7,0,0,1
1788484393.5078125,1788484393.505015,8,0,0,1
1788484393.6875,1788484393.685437,9,1,0,1
1788484393.8671875,1788484393.864746,3,0,0,1
1788484394.046875,1788484394.045241,2,0,0,1
1788484394.2265625,1788484394.225536,12,0,0,1
1788484394.40625,1788484394.404839,2,0,0,2
1788484394.5859375,1788484394.585683,9,1,0,2
1788484394.765625,1788484394.765501,6,0,0,2
1788484394.9453125,1788484394.944981,3,0,0,2
1788484395.125,1788484395.124754,10,0,0,2
1788484395.3085938,1788484395.305163,12,0,0,2
1788484395.4882812,1788484395.485701,1,0,0,2
1788484395.6679688,1788484395.665326,5,0,0,2
1788484395.8476562,1788484395.846152,4,1,0,2
1788484396.0273438,1788484396.025666,7,0,0,2
1788484396.2070312,1788484396.205034,8,0,0,2
1788484396.3867188,1788484396.385068,11,0,0,2
1788484396.5664062,1788484396.564722,8,0,0,3
1788484396.7460938,1788484396.745359,4,1,0,3
1788484396.9257812,1788484396.924947,1,0,0,3
1788484397.1054688,1788484397.104717,6,0,0,3
1788484397.2851562,1788484397.283855,2,0,0,3
1788484397.4648438,1788484397.463913,3,0,0,3
1788484397.6484375,1788484397.644747,12,0,0,3
1788484397.828125,1788484397.824773,11,0,0,3
1788484398.0039062,1788484398.003266,7,0,0,3
1788484398.1835938,1788484398.183545,9,1,0,3
1788484398.3671875,1788484398.364382,5,0,0,3
1788484398.546875,1788484398.543788,10,0,0,3
1788484398.7265625,1788484398.723978,6,0,0,4
1788484398.90625,1788484398.904343,8,0,0,4
1788484399.0859375,1788484399.083945,7,0,0,4
1788484399.265625,1788484399.263272,1,0,0,4
1788484399.4453125,1788484399.443826,11,0,0,4
1788484399.625,1788484399.622978,4,1,0,4
1788484399.8046875,1788484399.800917,2,0,0,4
1788484399.984375,1788484399.981287,9,1,0,4
1788484400.1640625,1788484400.161543,12,0,0,4
1788484400.34375,1788484400.341651,5,0,0,4
1788484400.5234375,1788484400.521206,10,0,0,4
1788484400.703125,1788484400.700475,3,0,0,4
1788484400.8828125,1788484400.881461,1,0,0,5
1788484401.0625,1788484401.061479,8,0,0,5
1788484401.2421875,1788484401.241507,9,1,0,5
1788484401.4257812,1788484401.422046,7,0,0,5
1788484401.6054688,1788484401.602508,4,1,0,5
1788484401.7851562,1788484401.781955,12,0,0,5
1788484401.9648438,1788484401.962187,11,0,0,5
1788484402.1445312,1788484402.142262,5,0,0,5
1788484402.3242188,1788484402.322674,3,0,0,5
1788484402.5039062,1788484402.503005,10,0,0,5
1788484402.6835938,1788484402.683309,6,0,0,5
1788484402.8671875,1788484402.863588,2,0,0,5
1788484403.0429688,1788484403.042609,4,1,0,6
1788484403.2265625,1788484403.223625,7,0,0,6
1788484403.40625,1788484403.404499,9,1,0,6
1788484403.5859375,1788484403.584038,3,0,0,6
1788484403.765625,1788484403.763711,1,0,0,6
1788484403.9453125,1788484403.943468,11,0,0,6
1788484404.125,1788484404.122963,8,0,0,6
1788484404.3046875,1788484404.303176,5,0,0,6
1788484404.484375,1788484404.483203,12,0,0,6
1788484404.6640625,1788484404.662738,10,0,0,6
1788484404.84375,1788484404.842239,2,0,0,6
1788484405.0234375,1788484405.021659,6,0,0,6
1788484405.203125,1788484405.202232,8,0,0,7
1788484405.3828125,1788484405.382608,2,0,0,7
1788484405.5625,1788484405.562018,6,0,0,7
1788484405.7421875,1788484405.742152,4,1,0,7
1788484405.9257812,1788484405.922109,3,0,0,7
1788484406.1054688,1788484406.1023,9,1,0,7
1788484406.2851562,1788484406.28276,12,0,0,7
1788484406.4648438,1788484406.461999,11,0,0,7
1788484406.6445312,1788484406.642234,1,0,0,7
1788484406.8242188,1788484406.822494,10,0,0,7
1788484407.0039062,1788484407.002891,7,0,0,7
1788484407.1835938,1788484407.183222,5,0,0,7
1788484407.3632812,1788484407.36168,3,0,0,8
1788484407.5429688,1788484407.541379,2,0,0,8
1788484407.7226562,1788484407.720666,11,0,0,8
1788484407.9023438,1788484407.899892,8,0,0,8
1788484408.0820312,1788484408.07952,7,0,0,8
1788484408.2617188,1788484408.260244,1,0,0,8
1788484408.4414062,1788484408.439874,9,1,0,8
1788484408.6210938,1788484408.619603,10,0,0,8
1788484408.8007812,1788484408.800105,4,1,0,8
1788484408.9804688,1788484408.978852,5,0,0,8
1788484409.1601562,1788484409.159159,12,0,0,8
1788484409.3398438,1788484409.338704,6,0,0,8
1788484409.5195312,1788484409.519159,12,0,0,9
1788484409.703125,1788484409.699565,8,0,0,9
1788484409.8828125,1788484409.879002,2,0,0,9
1788484410.0625,1788484410.059726,5,0,0,9
1788484410.2421875,1788484410.240137,6,0,0,9
1788484410.421875,1788484410.420702,7,0,0,9
1788484410.6015625,1788484410.600578,1,0,0,9
1788484410.78125,1788484410.780365,11,0,0,9
