lsl_timestamp,code,is_target,char_idx,rep
1574253.83802,8,0,0,1
1574254.0146061,12,0,0,1
1574254.1914106,1,0,0,1
1574254.3678864,9,0,0,1
1574254.5445013,6,0,0,1
1574254.7217325,7,1,0,1
1574254.8982834,4,0,0,1
1574255.0750376,11,0,0,1
1574255.2517717,5,0,0,1
1574255.4295636,2,0,0,1
1574255.6063223,10,0,0,1
1574255.7828886,3,1,0,1
1574255.9607256,9,0,0,2
1574256.1373019,12,0,0,2
1574256.313846,5,0,0,2
1574256.4905613,2,0,0,2
1574256.667102,3,1,0,2
1574256.8444987,4,0,0,2
1574257.0214721,6,0,0,2
1574257.1981234,11,0,0,2
1574257.3747073,10,0,0,2
1574257.5512546,7,1,0,2
1574257.7286802,1,0,0,2
1574257.9052283,8,0,0,2
1574258.0822475,5,0,0,3
1574258.2592251,8,0,0,3
1574258.4357909,3,1,0,3
1574258.6132737,7,1,0,3
1574258.7897929,2,0,0,3
1574258.9662757,12,0,0,3
1574259.143222,4,0,0,3
1574259.3200672,9,0,0,3
1574259.4968718,10,0,0,3
1574259.6735551,11,0,0,3
1574259.8500484,1,0,0,3
1574260.0265911,6,0,0,3
1574260.2030628,7,1,0,4
1574260.3795543,1,0,0,4
1574260.5561056,5,0,0,4
1574260.7330435,12,0,0,4
1574260.909888,6,0,0,4
1574261.0863946,2,0,0,4
1574261.2629273,3,1,0,4
1574261.4399647,11,0,0,4
1574261.6174491,10,0,0,4
1574261.7940005,8,0,0,4
1574261.9704906,4,0,0,4
1574262.1471932,9,0,0,4
1574262.3237297,10,0,0,5
1574262.500234,12,0,0,5
1574262.6767573,8,0,0,5
1574262.853254,4,0,0,5
1574263.0306448,11,0,0,5
1574263.2077952,6,0,0,5
1574263.3843989,1,0,0,5
1574263.5613784,5,0,0,5
1574263.7378571,3,1,0,5
1574263.9152514,2,0,0,5
1574264.0918496,9,0,0,5
1574264.2683209,7,1,0,5
1574264.4453481,6,0,0,6
1574264.6227895,9,0,0,6
1574264.7992645,3,1,0,6
1574264.975834,2,0,0,6
1574265.1525187,4,0,0,6
1574265.3290207,1,0,0,6
1574265.5055353,11,0,0,6
1574265.6820674,7,1,0,6
1574265.8585672,8,0,0,6
1574266.0350554,10,0,0,6
