lsl_timestamp,code,is_target,char_idx,rep
7137.9808707,8,0,0,1
7138.1585505,12,0,0,1
7138.3355101,1,0,0,1
7138.5127292,9,0,0,1
7138.6898764,6,0,0,1
7138.8666238,7,0,0,1
7139.0446169,4,0,0,1
7139.2216184,11,0,0,1
7139.3986383,5,1,0,1
7139.57659,2,0,0,1
7139.7538281,10,1,0,1
7139.9305196,3,0,0,1
7140.1082368,9,0,0,2
7140.2865211,12,0,0,2
7140.4635304,5,1,0,2
7140.6401316,2,0,0,2
7140.8167246,3,0,0,2
7140.9931599,4,0,0,2
7141.170516,6,0,0,2
7141.3475399,11,0,0,2
7141.5247497,10,1,0,2
7141.7012739,7,0,0,2
7141.8786803,1,0,0,2
7142.0555359,8,0,0,2
7142.2335382,5,1,0,3
7142.41055,8,0,0,3
7142.5877378,3,0,0,3
7142.7645002,7,0,0,3
7142.9417556,2,0,0,3
7143.1182533,12,0,0,3
7143.2957347,4,0,0,3
7143.4727793,9,0,0,3
7143.649551,10,1,0,3
7143.8275648,11,0,0,3
7144.005522,1,0,0,3
7144.1835203,6,0,0,3
7144.3600047,7,0,0,4
7144.5375574,1,0,0,4
7144.7141741,5,1,0,4
7144.8916,12,0,0,4
7145.0681166,6,0,0,4
7145.2446687,2,0,0,4
7145.4217528,3,0,0,4
7145.5987154,11,0,0,4
7145.7765817,10,1,0,4
7145.9530724,8,0,0,4
7146.1296028,4,0,0,4
7146.3068077,9,0,0,4
7146.4833807,10,1,0,5
7146.6606056,12,0,0,5
7146.8375331,8,0,0,5
7147.0145267,4,0,0,5
7147.1910982,11,0,0,5
7147.3676515,6,0,0,5
7147.5441868,1,0,0,5
7147.7207648,5,1,0,5
7147.8977573,3,0,0,5
7148.0748077,2,0,0,5
7148.2513833,9,0,0,5
7148.4285458,7,0,0,5
7148.6050917,6,0,0,6
7148.7825139,9,0,0,6
7148.9590535,3,0,0,6
7149.1357793,2,0,0,6
7149.3135228,4,0,0,6
7149.4915977,1,0,0,6
7149.6683449,11,0,0,6
7149.8458728,7,0,0,6
7150.0224382,8,0,0,6
7150.1989375,10,1,0,6
7150.3755726,12,0,0,6
7150.5535739,5,1,0,6
7150.7315482,10,1,0,7
7150.9083067,2,0,0,7
7151.0855093,8,0,0,7
7151.2627569,12,0,0,7
7151.4405469,5,1,0,7
7151.6170774,4,0,0,7
7151.7945444,1,0,0,7
7151.9715836,9,0,0,7
7152.1480913,6,0,0,7
7152.3247539,3,0,0,7
7152.5017736,11,0,0,7
7152.6787584,7,0,0,7
7152.8555343,2,0,0,8
7153.0335154,9,0,0,8
7153.2108197,7,0,0,8
7153.3878245,4,0,0,8
7153.564554,5,1,0,8
7153.7410477,12,0,0,8
7153.9175921,3,0,0,8
7154.0945249,10,1,0,8
7154.2715282,11,0,0,8
7154.4480909,1,0,0,8
7154.6245974,8,0,0,8
7154.8017556,6,0,0,8
7154.9787282,11,0,0,9
7155.1560363,6,0,0,9
7155.3335082,12,0,0,9
7155.5100783,8,0,0,9
7155.6867506,2,0,0,9
7155.8635657,7,0,0,9
7156.0405253,5,1,0,9
7156.2175151,10,1,0,9
7156.3947081,1,0,0,9
7156.5715161,4,0,0,9
7156.7480186,9,0,0,9
7156.924516,3,0,0,9
7157.1015603,7,0,0,10
7157.278525,12,0,0,10
7157.4566925,3,0,0,10
7157.633316,2,0,0,10
7157.8104998,9,0,0,10
7157.9877521,11,0,0,10
7158.1642518,4,0,0,10
7158.3415383,1,0,0,10
7158.5188473,5,1,0,10
7158.6955832,8,0,0,10
7158.8735629,6,0,0,10
7159.0507649,10,1,0,10
7159.2275191,11,0,0,11
7159.4045449,12,0,0,11
7159.5823868,2,0,0,11
7159.7589024,3,0,0,11
7159.9355841,9,0,0,11
7160.1120606,10,1,0,11
7160.2886855,5,1,0,11
7160.4655283,4,0,0,11
7160.6425889,6,0,0,11
7160.8195192,8,0,0,11
7160.9960031,1,0,0,11
7161.1727171,7,0,0,11
7161.3492073,4,0,0,12
7161.5265852,10,1,0,12
7161.7035348,3,0,0,12
7161.8805841,7,0,0,12
7162.058546,2,0,0,12
7162.2350049,12,0,0,12
7162.4117191,5,1,0,12
7162.5886946,8,0,0,12
7162.7651669,6,0,0,12
7162.9425026,11,0,0,12
7163.1196214,9,0,0,12
7163.2961404,1,0,0,12
7163.4735125,3,0,0,13
7163.6500494,10,1,0,13
7163.8267518,8,0,0,13
7164.0035709,6,0,0,13
7164.1801062,4,0,0,13
7164.3575053,7,0,0,13
7164.5340593,11,0,0,13
7164.7115587,12,0,0,13
7164.8887087,1,0,0,13
7165.0651364,5,1,0,13
7165.241683,9,0,0,13
7165.4181703,2,0,0,13
7165.5947045,7,0,0,14
7165.7715047,8,0,0,14
7165.9479661,4,0,0,14
7166.124721,12,0,0,14
7166.301733,11,0,0,14
7166.4782356,1,0,0,14
7166.6558405,9,0,0,14
7166.832365,6,0,0,14
7167.0097855,3,0,0,14
7167.186347,10,1,0,14
7167.3635377,2,0,0,14
7167.5407196,5,1,0,14
7167.7177189,9,0,0,15
7167.8945087,3,0,0,15
7168.071776,2,0,0,15
7168.2485607,10,1,0,15
7168.4255323,1,0,0,15
7168.6025122,7,0,0,15
7168.7795093,4,0,0,15
7168.9567738,6,0,0,15
7169.1333132,8,0,0,15
7169.3105373,12,0,0,15
7169.4871787,5,1,0,15
7169.6645255,11,0,0,15
7172.3458023,1,0,1,1
7172.5235175,10,0,1,1
7172.7015423,11,0,1,1
7172.878719,8,0,1,1
7173.0552227,9,1,1,1
7173.2326705,12,0,1,1
7173.4096242,3,1,1,1
7173.5868567,2,0,1,1
7173.7633761,5,0,1,1
7173.9398955,4,0,1,1
7174.1167434,7,0,1,1
7174.2932236,6,0,1,1
7174.4705097,9,1,1,2
7174.6470825,5,0,1,2
7174.8236413,8,0,1,2
7175.0007092,11,0,1,2
7175.1775523,2,0,1,2
7175.3545291,6,0,1,2
7175.5315111,10,0,1,2
7175.7080517,3,1,1,2
7175.8845684,7,0,1,2
7176.0615465,12,0,1,2
7176.2387345,4,0,1,2
7176.4156526,1,0,1,2
7176.5925149,7,0,1,3
7176.7696978,2,0,1,3
7176.9465574,3,1,1,3
7177.1230546,10,0,1,3
